응답ID,제품카테고리,구매채널,구매제품,전체만족도,품질만족도,배송만족도,서비스만족도,가격만족도,디자인만족도,재구매의향,추천의향,주요의견
R001,침대,온라인,에몽 퀸 침대,9,9,8,8,7,9,9,10,품질우수
R002,책상,오프라인,로넨 1200 책상,8,8,9,9,7,8,8,9,매장상담
R003,아이방,온라인,쿠티 벙커침대,7,8,6,7,6,8,7,7,배송기간
R004,서재,오프라인,샘 5단 책장,9,9,9,9,8,9,9,10,조립서비스
R005,소파,온라인,프롬 소파베드,6,7,5,6,6,7,6,6,배송파손
R006,침대,온라인,이모션 퀸,9,9,8,9,8,9,9,10,수면품질
R007,책상,오프라인,링키 학생책상,8,8,8,9,8,8,8,9,성장책상
R008,아이방,온라인,아이샘 책상,8,8,7,8,8,8,8,8,가성비
R009,서재,오프라인,로엘 서랍장,9,9,9,9,7,9,9,9,수납공간
R010,침대,온라인,에몽 슈퍼싱글,7,8,6,7,7,8,7,7,배송지연
R011,소파,오프라인,프롬 3인 소파,9,9,8,9,7,9,9,9,편안함
R012,책상,온라인,로넨 1400 책상,8,8,8,7,7,8,8,8,사이즈
R013,아이방,온라인,쿠티 키즈침대,9,9,8,8,8,9,9,10,아이안전
R014,서재,오프라인,샘 6단 책장,8,8,9,9,7,8,8,8,조립편의
R015,침대,온라인,이모션 킹,9,10,8,9,7,9,9,10,프리미엄
R016,책상,오프라인,링키 1200 책상,8,8,8,8,8,8,8,8,성장맞춤
R017,아이방,온라인,아이샘 책장,7,7,7,7,8,7,7,7,수납부족
R018,서재,오프라인,로엘 협탁,9,9,9,9,8,9,9,9,심플디자인
R019,소파,온라인,프롬 소파베드,8,8,7,8,7,8,8,8,공간활용
R020,침대,오프라인,에몽 킹 침대,10,10,9,10,8,10,10,10,최고품질
R021,책상,온라인,로넨 1200 책상,7,8,6,7,7,8,7,7,배송지연
R022,아이방,오프라인,쿠티 벙커침대,9,9,9,9,7,9,9,9,공간효율
R023,서재,온라인,샘 3단 책장,8,8,7,8,8,8,8,8,깔끔함
R024,침대,온라인,에몽 슈퍼싱글,8,8,8,8,7,8,8,8,가격대비
R025,소파,오프라인,프롬 3인 소파,7,8,8,7,6,8,7,7,가격부담
R026,책상,온라인,링키 학생책상,9,9,8,8,9,9,9,9,성장지원
R027,아이방,온라인,아이샘 책상,8,8,7,8,8,8,8,8,조립필요
R028,서재,오프라인,샘 5단 책장,9,9,9,9,8,9,9,10,수납력
R029,침대,온라인,이모션 슈퍼싱글,8,8,7,8,8,8,8,8,편안함
R030,책상,오프라인,로넨 1400 책상,9,9,9,9,7,9,9,9,상담만족
R031,아이방,온라인,쿠티 키즈침대,8,8,7,8,7,8,8,8,디자인
R032,서재,온라인,로엘 와이드 서랍장,7,7,6,7,7,7,7,7,배송파손
R033,소파,오프라인,프롬 소파베드,9,9,9,9,8,9,9,9,활용도
R034,침대,온라인,에몽 퀸 침대,9,9,8,9,8,9,9,9,내구성
R035,책상,온라인,링키 1200 책상,8,8,7,8,8,8,8,8,기능성
R036,아이방,오프라인,아이샘 책장,9,9,9,9,8,9,9,9,깔끔함
R037,서재,온라인,샘 6단 책장,7,7,6,7,7,7,7,7,조립어려움
R038,침대,오프라인,이모션 킹,10,10,9,10,8,10,10,10,숙면품질
R039,소파,온라인,프롬 3인 소파,8,8,7,8,7,8,8,8,안락함
R040,책상,오프라인,로넨 1200 책상,9,9,9,9,8,9,9,9,디자인
R041,아이방,온라인,쿠티 벙커침대,8,8,7,8,7,8,8,8,안전성
R042,서재,온라인,로엘 협탁,8,8,8,8,8,8,8,8,미니멀
R043,침대,오프라인,에몽 슈퍼싱글,9,9,9,9,8,9,9,9,매장경험
R044,책상,온라인,링키 학생책상,7,7,6,7,8,7,7,7,배송지연
R045,아이방,오프라인,아이샘 책상,9,9,9,9,9,9,9,9,가성비
R046,서재,온라인,샘 5단 책장,8,8,8,8,7,8,8,8,공간활용
R047,소파,오프라인,프롬 소파베드,9,9,8,9,7,9,9,9,멀티기능
R048,침대,온라인,이모션 퀸,6,7,5,6,6,7,6,6,배송이슈
R049,책상,오프라인,로넨 1400 책상,9,9,9,9,8,9,9,10,상담전문성
R050,아이방,온라인,쿠티 키즈침대,8,8,8,8,8,8,8,8,안전설계
